"Timestamp","Возраст ","Класс ","Есть ли у вас дома персональный компьютер (ноутбук)?","Оцените Ваш навык программирования","Посещали ли Вы курсы программирования раньше?","Если вы посещали курсы, напишите какой язык изучали и над чем работали","Вы когда-нибудь программировали самостоятельно (вне классов)? ","Если программировали самостоятельно, напишите какой язык программирования использовали и над чем работали ","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [Переменные]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [Тип данных str (string)]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [Типы данных int (integer)]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [if/elif/else]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [for]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [while]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [Функции]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [Методы]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [list()]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [dict()]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [import]","Если у вас нет опыта в программировании, то пропустите этот вопрос. Если у вас есть какой-либо опыт, оцените свои знания по следующим темам  [ООП (OOP)]"
"2023/09/04 3:02:41 PM GMT+5","13","7","Да","Есть опыт, но я не уверен в своих навыках","Да","PYTHON","Нет","","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Слышал, но не понимаю","Слышал, но не понимаю","Слышал, но не понимаю","Слышал, но не понимаю","Никогда не слышал","Слышал, но не понимаю","Слышал, но не понимаю","Понимаю и могу использовать","Никогда не слышал"
"2023/09/05 6:04:26 PM GMT+5","10","4","Нет","Есть опыт, но я не уверен в своих навыках","Да","Roblox, Python","Нет","","Понимаю и могу использовать","Слышал, но не понимаю","Слышал, но не понимаю","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Никогда не слышал","Слышал, но не понимаю","Никогда не слышал"
"2023/09/05 6:05:49 PM GMT+5","15","9а","Да","Есть опыт, но я не уверен в своих навыках","Да","python","Нет","","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Слышал, но не понимаю","Понимаю и могу использовать","Понимаю и могу использовать","Слышал, но не понимаю","Понимаю и могу использовать","Никогда не слышал","Понимаю и могу использовать","Никогда не слышал"
"2023/09/06 10:01:00 AM GMT+5","9","3","Да","Есть опыт, но я не уверен в своих навыках","Да","Робототехника","Нет","","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
"2023/09/06 10:01:58 AM GMT+5","13","8","Да","Никогда раньше не программировал","Нет","","Нет","","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
"2023/09/11 6:04:52 PM GMT+5","15","10","Да","Никогда раньше не программировал","Нет","","Нет","","","","","","","","","","","","",""
"2023/09/11 6:06:38 PM GMT+5","12","6","Да","Есть опыт, но я не уверен в своих навыках","Нет","","Нет","","","","","","","","","","","","",""
"2023/09/11 6:08:13 PM GMT+5","12 ","6","Да","Никогда раньше не программировал","Нет","","Нет","","Слышал, но не понимаю","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Слышал, но не понимаю","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
"2023/09/11 6:08:28 PM GMT+5","13","7","Да","Есть опыт, но я не уверен в своих навыках","Да","Я посещал курс программирования html и я изучал создание сайтов.","Нет","","","","","","","","","","","","",""
"2023/09/11 6:08:36 PM GMT+5","12","6","Нет","Есть опыт, но я не уверен в своих навыках","Да","язык програмирования на роблокс студио","Нет","","Понимаю и могу использовать","Никогда не слышал","Никогда не слышал","Понимаю и могу использовать","Слышал, но не понимаю","Слышал, но не понимаю","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
"2023/09/12 4:00:34 PM GMT+5","12","6","Да","Есть опыт, но я не уверен в своих навыках","Да","Roblox Studios","Нет","","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
"2023/09/12 4:01:41 PM GMT+5","13","7","Да","Есть опыт, но я не уверен в своих навыках","Нет","","Да","Язык Arduino","Понимаю и могу использовать","Слышал, но не понимаю","Слышал, но не понимаю","Слышал, но не понимаю","Никогда не слышал","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Слышал, но не понимаю","Никогда не слышал","Слышал, но не понимаю","Никогда не слышал"
"2023/09/12 4:02:15 PM GMT+5","13","7","Да","Никогда раньше не программировал","Нет","","Нет","","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Понимаю и могу использовать","Понимаю и могу использовать","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
"2023/09/12 4:02:27 PM GMT+5","10","5","Да","Есть опыт, но я не уверен в своих навыках","Да","","Нет","","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Слышал, но не понимаю","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Слышал, но не понимаю","Слышал, но не понимаю"
"2023/09/12 4:03:15 PM GMT+5","13","8","Да","Есть опыт, но я не уверен в своих навыках","Да","Python","Нет","","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Слышал, но не понимаю","Понимаю и могу использовать","Слышал, но не понимаю","Никогда не слышал","Понимаю и могу использовать","Никогда не слышал","Понимаю и могу использовать","Никогда не слышал"
"2023/09/12 4:03:47 PM GMT+5","12","7","Да","Есть опыт, но я не уверен в своих навыках","Да","Я изучал пайтон.","Нет","В прошлом году лёгкие темы проходил.","Слышал, но не понимаю","Слышал, но не понимаю","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Слышал, но не понимаю","Слышал, но не понимаю","Слышал, но не понимаю","Понимаю и могу использовать","Слышал, но не понимаю","Понимаю и могу использовать","Никогда не слышал"
"2023/09/12 5:58:28 PM GMT+5","14","8","Да","Никогда раньше не программировал","Нет","","Нет","","","","","","","","","","","","",""
"2023/09/13 9:59:16 AM GMT+5","12","6к","Да","Есть опыт, но я не уверен в своих навыках","Нет","","Да","","","","","","","","","","","","",""
"2023/09/13 3:01:55 PM GMT+5","11","5г","Да","Никогда раньше не программировал","Нет","","Нет","","","","","","","","","","","","",""
"2023/09/13 3:03:45 PM GMT+5","11","5 г","Да","Есть опыт, но я не уверен в своих навыках","Да","roblox studio - python","Да","cklicer","Понимаю и могу использовать","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
"2023/09/15 10:04:34 AM GMT+5","14","8","Да","Никогда раньше не программировал","Нет","","Нет","","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал","Слышал, но не понимаю","Никогда не слышал","Слышал, но не понимаю","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
"2023/09/15 6:02:37 PM GMT+5","12","7","Да","Есть опыт, но я не уверен в своих навыках","Да","paiten","Да","-","Слышал, но не понимаю","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Понимаю и могу использовать","Никогда не слышал","Никогда не слышал","Никогда не слышал","Никогда не слышал"
